2025-12-17 15:17:15,126 | INFO  | MainThread | solace_ai_connector.common.logging_config | Root logger successfully configured based on LOGGING_CONFIG_PATH=/Users/ericshantz/Library/CloudStorage/OneDrive-SolaceCorporation/Documents/Code/Solace_Academy_SAM_Demo/100-Environment-Installation/sam/configs/logging_config.yaml
2025-12-17 15:17:15,146 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Starting Solace AI Event Connector
2025-12-17 15:17:15,146 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Creating app orchestrator-agent_app
2025-12-17 15:17:15,188 | INFO  | MainThread | solace_agent_mesh.agent.sac.app | Configuring A2A_ADK_App for Agent: 'OrchestratorAgent' in Namespace: 'my_project_namespace/'
2025-12-17 15:17:15,188 | INFO  | MainThread | solace_agent_mesh.agent.sac.app | Automatically generated subscriptions for Agent 'OrchestratorAgent': [{'topic': 'my_project_namespace/a2a/v1/agent/request/OrchestratorAgent'}, {'topic': 'my_project_namespace/a2a/v1/discovery/agentcards'}, {'topic': 'my_project_namespace/a2a/v1/agent/response/OrchestratorAgent/>'}, {'topic': 'my_project_namespace/a2a/v1/agent/status/OrchestratorAgent/>'}, {'topic': 'my_project_namespace/sam/events/session/>'}]
2025-12-17 15:17:15,189 | INFO  | MainThread | solace_ai_connector.components.component_base | [orchestrator-agent_app_broker_input] [solace_ai_connector.orchestrator-agent_app_implicit_flow.orchestrator-agent_app_broker_input]  Multi-session request/response is enabled.
2025-12-17 15:17:15,189 | INFO  | MainThread | solace_ai_connector.components.component_base | [orchestrator-agent_app_broker_input] [solace_ai_connector.orchestrator-agent_app_implicit_flow.orchestrator-agent_app_broker_input]  Using parent app's broker configuration as default for multi-session request/response.
2025-12-17 15:17:15,189 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[orchestrator-agent_app_broker_input]: reconnection_strategy not provided, using default value of forever_retry
2025-12-17 15:17:15,189 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[orchestrator-agent_app_broker_input]: retry_interval not provided, using default value of 3000 milliseconds
2025-12-17 15:17:15,192 | INFO  | MainThread | solace_ai_connector.common.messaging.solace_messaging | broker[orchestrator-agent_app_broker_input]: Connecting to broker at ws://localhost:8008.
2025-12-17 15:17:24,279 | INFO  | MainThread | solace_ai_connector.solace_ai_connector | Received keyboard interrupt - stopping
